model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.01110778,0.548255027,0.5
GaussianNB,overall_accuracy_equality,0,2,0.012673039,0.548475748,0.25
GaussianNB,overall_accuracy_equality,0,3,0.01033668,0.548312514,0.5
GaussianNB,overall_accuracy_equality,0,4,0.012376864,0.547820423,0.25
GaussianNB,overall_accuracy_equality,0,5,0.011125865,0.548211159,0.5
GaussianNB,overall_accuracy_equality,0,6,0.010054859,0.548288688,0.25
GaussianNB,overall_accuracy_equality,0,7,0.010825149,0.548547466,0.5
GaussianNB,overall_accuracy_equality,0,8,0.011934804,0.548180179,0.25
GaussianNB,overall_accuracy_equality,0,9,0.012532974,0.548522802,0.5
GaussianNB,overall_accuracy_equality,0,10,0.01145999,0.548558632,0.25
GaussianNB,overall_accuracy_equality,0,11,0.010331136,0.548325458,0.25
GaussianNB,overall_accuracy_equality,0,12,0.011257508,0.548410869,0.5
GaussianNB,overall_accuracy_equality,0,13,0.010946889,0.548358524,0.25
GaussianNB,overall_accuracy_equality,0,14,0.011330916,0.54840898,0
GaussianNB,overall_accuracy_equality,0,15,0.011626862,0.548605232,0.5
GaussianNB,overall_accuracy_equality,0,16,0.011964312,0.548593329,0.5
GaussianNB,overall_accuracy_equality,0,17,0.012766976,0.548546274,0.75
GaussianNB,overall_accuracy_equality,0,18,0.012170372,0.54846999,0.25
GaussianNB,overall_accuracy_equality,0,19,0.011446204,0.548501778,0.25
GaussianNB,overall_accuracy_equality,0,20,0.010568481,0.548428647,0.25
GaussianNB,overall_accuracy_equality,0,21,0.011751863,0.54840117,0
GaussianNB,overall_accuracy_equality,0,22,0.010053314,0.548134895,0.25
GaussianNB,overall_accuracy_equality,0,23,0.011638702,0.548073787,0.25
GaussianNB,overall_accuracy_equality,0,24,0.011183623,0.548480402,0.25
GaussianNB,overall_accuracy_equality,0,25,0.011018763,0.548497674,0.5
GaussianNB,overall_accuracy_equality,0,26,0.010480029,0.548629069,0.5
GaussianNB,overall_accuracy_equality,0,27,0.011853111,0.548414024,0
GaussianNB,overall_accuracy_equality,0,28,0.010492488,0.548256365,0.25
